ticker ,Name of Company
BHARTIARTL.NS,Bharti Airtel Limited
ASHOKLEY.NS,Ashok Leyland Limited
AUROPHARMA.NS,Aurobindo Pharma Limited
SANWARIA.NS,Sanwaria Agro Oils Limited
ALMONDZ.NS,Almondz Global Securities Limited
SBIN.NS,State Bank of India
BPCL.NS,Bharat Petroleum Corporation Limited
MBECL.NS,McNally Bharat Engineering Company Limited
MAHABANK.NS,Bank of Maharashtra
BOSCHLTD.NS,Bosch Limited
IDBI.NS,IDBI Bank Limited
DABUR.NS,Dabur India Limited
TCIDEVELOP.NS,TCI Developers Limited
DRREDDY.NS,Dr. Reddy's Laboratories Limited
DPSCLTD.NS,India Power Corporation Limited
PRABHAT.NS,Prabhat Dairy Limited
MAHLIFE.NS,Mahindra Lifespace Developers Limited
LPDC.NS,Landmark Property Development Company Limited
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited
IRB.NS,IRB Infrastructure Developers Limited
HDIL.NS,Housing Development and Infrastructure Limited
HDFC.NS,Housing Development Finance Corporation Limited
GOENKA.NS,Goenka Diamond and Jewels Limited
ENERGYDEV.NS,Energy Development Company Limited
SCHNEIDER.NS,Schneider Electric Infrastructure Limited
TATAELXSI.NS,Tata Elxsi Limited
SWARAJENG.NS,Swaraj Engines Limited
RECLTD.NS,Rural Electrification Corporation Limited
PEL.NS,Piramal Enterprises Limited
EVERONN.NS,Everonn Education Limited
ESSELPACK.NS,Essel Propack Limited
ENTEGRA.NS,Entegra Limited
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
OFSS.NS,Oracle Financial Services Software Limited
LICHSGFIN.NS,LIC Housing Finance Limited
SITASHREE.NS,Sita Shree Food Products Limited
PFS.NS,PTC India Financial Services Limited
PFC.NS,Power Finance Corporation Limited
MUTHOOTFIN.NS,Muthoot Finance Limited
MAX.NS,Max Financial Services Limited
MAGMA.NS,Magma Fincorp Limited
FACT.NS,The Fertilisers And Chemicals Travancore Limited
WEIZFOREX.NS,Weizmann Forex Limited
GSPL.NS,Gujarat State Petronet Limited
GAIL.NS,GAIL (India) Limited
POWERGRID.NS,Power Grid Corporation of India Limited
VHL.NS,Vardhman Holdings Limited
HINDUNILVR.NS,Hindustan Unilever Limited
HINDPETRO.NS,Hindustan Petroleum Corporation Limited
HCC.NS,Hindustan Construction Company Limited
HIRECT.NS,Hind Rectifiers Limited
SYNCOM.NS,Syncom Healthcare Limited
ROHLTD.NS,Royal Orchid Hotels Limited
JUBLINDS.NS,Jubilant Industries Limited
JISLJALEQS.NS,Jain Irrigation Systems Limited
ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited
SBBJ.NS,State Bank of Bikaner & Jaipur
PCJEWELLER-EQ.NS,PC JEWELLER LIMITE INR10
JYOTHYLAB.NS,Jyothy Laboratories Limited
JUBLFOOD.NS,Jubilant FoodWorks Limited
JUBILANT.NS,Jubilant Life Sciences Limited
JSWSTEEL.NS,JSW Steel Limited
JPPOWER.NS,Jaiprakash Power Ventures Limited
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited
JKTYRE.NS,JK Tyre & Industries Limited
JKPAPER.NS,JK Paper Limited
JISLDVREQS.NS,Jain Irrigation Systems Limited
JINDCOT.NS,Jindal Cotex Limited
JINDALSAW.NS,Jindal Saw Limited
JBFIND.NS,JBF Industries Limited
JAIHINDPRO.NS,Jaihind Projects Limited
JAGRAN.NS,Jagran Prakashan Limited
JMFINANCIL-EQ.NS,JM FINANCIAL INR1
JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5
JAMNAAUTO.NS,Jamna Auto Industries Limited
JAICORPLTD.NS,Jai Corp Limited
JMA.NS,Jullundur Motor Agency (Delhi) Limited
JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2
JUSTDIAL.NS,Just Dial Limited
JKIL.NS,J. Kumar Infraprojects Limited
J&KBANK.NS,The Jammu and Kashmir Bank Limited
JUSTDIAL-EQ.NS,JUST DIAL LTD INR10
J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE
JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED
JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1
JCTEL-EQ.NS,JCT ELECTRONICS INR1.00
PCJEWELLER.NS,PC Jeweller Limited
JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10
TARAJEWELS.NS,Tara Jewels Limited
JSWENERGY.NS,JSW Energy Limited
JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10
JKCEMENT.NS,J.K. Cement Limited
JUMBO-BZ.NS,JUMBO-BZ.NS
JKPAPER-EQ.NS,JK PAPER LIMITED
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF
JINDCOT-EQ.NS,JINDAL COTEX LIMITED
JINDALPHOT.NS,Jindal Photo Limited
JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED
JAYAGROGN.NS,Jayant Agro-Organics Limited
JAIBALAJI.NS,Jai Balaji Industries Limited
JINDWORLD.NS,Jindal Worldwide Limited
JIKIND-BE.NS,JIK INDUSTRIES INR10
JMTAUTOLTD-EQ.NS,JMT AUTO LIMITED
JSWHL.NS,JSW Holdings Limited
JAIHINDPRO-EQ.NS,JAIHIND PROJECTS LIMITED
KPRMILL.NS,K.P.R. Mill Limited
KPIT.NS,KPIT Technologies Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
KTIL.NS,Kesar Terminals & Infrastructure Limited
KSK.NS,KSK Energy Ventures Limited
KSERASERA.NS,KSS Limited
KSCL.NS,Kaveri Seed Company Limited
KOTHARIPRO.NS,Kothari Products Limited
KOTARISUG.NS,Kothari Sugars and Chemicals Limited
KOPRAN.NS,Kopran Limited
KNRCON.NS,KNR Constructions Limited
KITEX.NS,Kitex Garments Limited
KIRLOSENG.NS,Kirloskar Oil Engines Limited
KBIL.NS,Kirloskar Brothers Investments Ltd.
KGL.NS,Karuturi Global Limited
KESARENT.NS,Kesar Enterprises Limited
KEC.NS,KEC International Limited
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited
EKC.NS,Everest Kanto Cylinder Limited
KSL.NS,Kalyani Steels Limited
KANSAINER.NS,Kansai Nerolac Paints Limited
SKUMARSYN.NS,S. Kumars Nationwide Ltd.
KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI
MRF.NS,MRF Limited
TATASTEEL.NS,Tata Steel Limited
RELIANCE.NS,Reliance Industries Limited
NOCIL.NS,NOCIL Limited
ICIL.NS,Indo Count Industries Limited
TCS.NS,Tata Consultancy Services Limited
SURANAIND.NS,Surana Industries Limited
SASKEN.NS,Sasken Technologies Limited
RELINFRA.NS,Reliance Infrastructure Limited
PRAJIND.NS,Praj Industries Limited
NICCO.NS,Nicco Corporation Limited
MARUTI.NS,Maruti Suzuki India Limited
LUPIN.NS,Lupin Limited
CAIRN.NS,Cairn India Limited
ZENITHBIR.NS,Zenith Birla (India) Limited
YESBANK.NS,Yes Bank Limited
XPROINDIA.NS,Xpro India Limited
VOLTAS.NS,Voltas Limited
VISAKAIND.NS,Visaka Industries Limited
USHERAGRO.NS,Usher Agro Limited
UFO.NS,UFO Moviez India Limited
UFLEX.NS,Uflex Limited
TV18BRDCST.NS,TV18 Broadcast Limited
TRIGYN.NS,Trigyn Technologies Limited
